                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4378,                 2.7449,                 1.2932,                0.95905,                  0.942,                0.95811,                 0.4578,                 1.5523,                 1.2601,                 1.0985,               0.070526,              0.0032749,              0.0032749
                      2,                 1.2823,                0.82514,                0.95238,                0.98728,                  0.988,                0.99263,                0.68643,                0.99443,                0.58449,                0.90605,               0.040461,              0.0065428,              0.0065428
                      3,                 1.1238,                0.65248,                0.90629,                0.99453,                  0.988,                 0.9938,                0.72362,                0.90468,                0.54826,                0.86901,               0.010329,              0.0097447,              0.0097447
                      4,                0.96325,                0.56628,                0.87279,                0.98803,                0.99026,                0.99422,                0.78322,                0.79857,                0.45508,                0.85257,               0.009703,               0.009703,               0.009703
                      5,                0.89763,                0.51525,                0.85806,                0.99727,                  0.992,                0.99492,                0.78309,                0.75017,                0.39811,                0.84017,               0.009604,               0.009604,               0.009604
                      6,                0.81777,                0.47078,                0.84771,                0.99204,                 0.9975,                0.99494,                0.80154,                0.68427,                0.37629,                0.82411,               0.009505,               0.009505,               0.009505
                      7,                0.78134,                0.45581,                0.83287,                0.99372,                  0.994,                 0.9949,                0.86175,                0.54546,                0.33641,                0.80719,               0.009406,               0.009406,               0.009406
                      8,                0.73615,                0.43369,                0.83083,                0.99842,                  0.994,                  0.995,                 0.8959,                 0.4478,                0.30879,                0.79767,               0.009307,               0.009307,               0.009307
                      9,                0.69558,                0.41715,                0.82582,                0.99834,                  0.996,                  0.995,                 0.8779,                0.51852,                0.31746,                0.80377,               0.009208,               0.009208,               0.009208
                     10,                0.69758,                0.40318,                0.82405,                0.99767,                  0.994,                  0.995,                0.79697,                0.74071,                0.35667,                0.82839,               0.009109,               0.009109,               0.009109
                     11,                0.67157,                0.38913,                0.82038,                0.99792,                  0.998,                  0.995,                0.85461,                0.54761,                0.31577,                0.80271,                0.00901,                0.00901,                0.00901
                     12,                0.65146,                0.38498,                0.81477,                  0.996,                0.99596,                0.99498,                0.91425,                0.40664,                0.27863,                0.79222,               0.008911,               0.008911,               0.008911
                     13,                 0.6273,                0.37119,                0.81208,                0.99866,                  0.998,                  0.995,                0.90603,                0.46295,                 0.2821,                0.79206,               0.008812,               0.008812,               0.008812
                     14,                0.62367,                0.36551,                0.81183,                0.99596,                      1,                  0.995,                0.90502,                0.44463,                0.27532,                0.79129,               0.008713,               0.008713,               0.008713
                     15,                0.59643,                 0.3556,                0.80932,                0.99765,                  0.998,                  0.995,                0.87754,                 0.5646,                0.31027,                0.80441,               0.008614,               0.008614,               0.008614
                     16,                 0.6088,                 0.3605,                0.80821,                0.99566,                  0.998,                  0.995,                0.88076,                0.50399,                0.28772,                0.79771,               0.008515,               0.008515,               0.008515
                     17,                0.58643,                 0.3511,                0.80768,                  0.998,                 0.9995,                  0.995,                0.93045,                 0.3913,                0.25576,                0.78629,               0.008416,               0.008416,               0.008416
                     18,                0.56919,                0.34686,                0.80374,                0.99982,                  0.996,                  0.995,                0.93141,                0.38789,                0.24818,                0.78633,               0.008317,               0.008317,               0.008317
                     19,                0.56669,                0.34109,                0.80272,                0.99989,                  0.996,                  0.995,                0.93308,                0.36884,                0.25345,                0.78593,               0.008218,               0.008218,               0.008218
