                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0091,                 3.4876,                 1.0904,                0.01656,                0.96955,                0.55943,                0.21278,                 1.7831,                 3.3336,                0.98091,                 0.0748,                 0.0028,                 0.0028
                      2,                  1.512,                 1.3364,                0.90848,                 0.0202,                0.99199,                0.84742,                0.43356,                 1.3197,                 2.9301,                0.88939,               0.048644,              0.0056436,              0.0056436
                      3,                  1.492,                 1.1256,                0.90435,                      1,                0.41277,                0.95784,                0.48652,                 1.5902,                 1.8636,                0.96015,                0.02243,              0.0084297,              0.0084297
                      4,                 1.5259,                 1.1081,                0.91713,                0.86374,                0.92364,                0.95726,                0.51471,                 1.4807,                0.98439,                0.92947,               0.009703,               0.009703,               0.009703
                      5,                 1.4337,                0.94073,                0.90226,                0.86361,                 0.9429,                0.91716,                0.55988,                 1.2001,                0.81511,                0.88486,               0.009703,               0.009703,               0.009703
                      6,                 1.2898,                0.83741,                0.88098,                0.94937,                0.96699,                0.93659,                0.51508,                 1.3432,                 1.0057,                0.91527,               0.009604,               0.009604,               0.009604
                      7,                 1.2409,                0.77005,                 0.8662,                0.90365,                0.90804,                0.86635,                0.35508,                 1.9854,                0.84878,                 1.0419,               0.009505,               0.009505,               0.009505
                      8,                 1.1724,                0.73158,                0.85701,                0.99325,                0.97687,                0.99334,                0.63597,                 1.1481,                0.65499,                0.86052,               0.009406,               0.009406,               0.009406
                      9,                 1.1234,                0.67445,                0.85427,                0.98977,                0.99827,                0.99483,                0.57012,                 1.2424,                0.76594,                0.87548,               0.009307,               0.009307,               0.009307
                     10,                 1.1232,                0.65911,                0.84522,                0.99092,                0.99536,                0.99259,                0.70919,                0.96751,                0.59477,                0.83814,               0.009208,               0.009208,               0.009208
                     11,                 1.0796,                0.60645,                0.84553,                0.99356,                0.99694,                0.99246,                0.67467,                0.99071,                0.54404,                0.84183,               0.009109,               0.009109,               0.009109
                     12,                 1.0615,                0.59878,                0.84208,                0.98827,                0.99863,                0.99347,                0.71304,                0.91738,                0.52889,                0.83427,                0.00901,                0.00901,                0.00901
                     13,                 1.0176,                0.59234,                0.83785,                0.99511,                0.99877,                0.99434,                0.74778,                0.82493,                 0.4761,                 0.8269,               0.008911,               0.008911,               0.008911
                     14,                 1.0224,                0.57649,                0.83412,                 0.9913,                      1,                0.99226,                0.62762,                 1.1836,                0.62732,                0.85846,               0.008812,               0.008812,               0.008812
                     15,                 1.0105,                0.57012,                0.83401,                0.99335,                      1,                0.99449,                0.76176,                 0.8242,                0.47392,                0.82516,               0.008713,               0.008713,               0.008713
                     16,                 1.0037,                 0.5528,                0.82896,                0.99317,                0.99763,                0.99436,                0.71441,                0.98561,                0.50402,                0.84537,               0.008614,               0.008614,               0.008614
                     17,                0.96633,                0.52689,                  0.827,                0.99496,                      1,                0.99432,                0.78747,                0.79876,                0.44502,                0.82368,               0.008515,               0.008515,               0.008515
                     18,                0.93784,                0.51113,                0.82626,                0.99285,                0.99955,                0.99479,                0.76869,                0.83518,                0.47723,                0.82413,               0.008416,               0.008416,               0.008416
                     19,                0.93938,                0.51912,                0.82462,                0.99565,                0.99736,                0.99481,                0.76156,                0.84416,                0.43486,                 0.8269,               0.008317,               0.008317,               0.008317
                     20,                0.91445,                0.49358,                0.82016,                0.99397,                0.99997,                0.99314,                0.79135,                0.75901,                0.41959,                0.81786,               0.008218,               0.008218,               0.008218
                     21,                0.89023,                0.49443,                0.81808,                0.99538,                      1,                0.99479,                0.78877,                0.75811,                0.43191,                0.82218,               0.008119,               0.008119,               0.008119
                     22,                0.89765,                0.48964,                0.82092,                0.99538,                      1,                0.99482,                0.80175,                0.75497,                0.42454,                0.81902,                0.00802,                0.00802,                0.00802
                     23,                0.89622,                0.48794,                0.81873,                 0.9947,                0.99974,                0.99464,                0.76705,                0.84116,                0.43072,                0.82488,               0.007921,               0.007921,               0.007921
                     24,                0.89176,                0.47761,                0.82123,                 0.9953,                      1,                0.99433,                0.80473,                0.74572,                0.40888,                0.81779,               0.007822,               0.007822,               0.007822
                     25,                0.85125,                0.46801,                0.81313,                0.99505,                0.99932,                0.99415,                0.80697,                0.72774,                0.41039,                0.81386,               0.007723,               0.007723,               0.007723
                     26,                0.85089,                0.46539,                0.81026,                0.99534,                      1,                0.99476,                0.80719,                 0.7325,                0.40502,                0.81291,               0.007624,               0.007624,               0.007624
                     27,                0.85433,                0.45291,                0.81512,                0.99306,                      1,                0.99484,                0.81031,                0.73326,                0.38539,                0.81441,               0.007525,               0.007525,               0.007525
                     28,                0.81787,                0.45059,                0.81171,                 0.9961,                      1,                0.99498,                0.78776,                0.78033,                  0.407,                0.82218,               0.007426,               0.007426,               0.007426
                     29,                 0.8394,                0.45555,                0.81435,                0.99354,                      1,                0.99485,                0.82692,                0.65283,                0.37122,                0.81206,               0.007327,               0.007327,               0.007327
                     30,                0.82737,                0.44497,                0.81275,                0.99333,                0.99973,                0.99494,                0.81165,                0.67311,                0.37696,                0.81282,               0.007228,               0.007228,               0.007228
                     31,                0.82558,                0.44023,                0.80538,                0.99591,                      1,                0.99498,                0.81773,                0.71963,                0.38923,                 0.8133,               0.007129,               0.007129,               0.007129
                     32,                0.79611,                0.43457,                 0.8088,                0.99487,                      1,                0.99494,                0.80491,                0.71981,                 0.3728,                0.81429,                0.00703,                0.00703,                0.00703
                     33,                 0.7726,                0.42592,                0.80507,                0.99544,                      1,                0.99496,                0.79603,                0.74024,                0.38777,                0.81943,               0.006931,               0.006931,               0.006931
                     34,                0.80396,                0.43185,                 0.8091,                 0.9949,                0.99865,                0.99496,                0.84046,                0.61357,                0.35285,                0.80605,               0.006832,               0.006832,               0.006832
                     35,                0.77332,                0.42294,                0.80467,                 0.9914,                      1,                0.99494,                0.81873,                0.69175,                0.36977,                0.80905,               0.006733,               0.006733,               0.006733
                     36,                0.77598,                0.42177,                0.80731,                0.99312,                      1,                0.99496,                0.80468,                0.73581,                0.38443,                0.81684,               0.006634,               0.006634,               0.006634
                     37,                0.76542,                0.41561,                0.80108,                0.99314,                      1,                  0.995,                0.85223,                0.60178,                0.34247,                0.80651,               0.006535,               0.006535,               0.006535
                     38,                0.75903,                0.41491,                0.80285,                0.99804,                0.99688,                  0.995,                0.85822,                0.59784,                0.34969,                0.80514,               0.006436,               0.006436,               0.006436
                     39,                0.75868,                0.41095,                0.79997,                0.99957,                0.99536,                  0.995,                0.82211,                   0.68,                0.35869,                0.81234,               0.006337,               0.006337,               0.006337
                     40,                0.73527,                0.39974,                0.80035,                0.99971,                0.99952,                  0.995,                0.84113,                 0.5991,                0.33954,                0.80499,               0.006238,               0.006238,               0.006238
                     41,                0.72261,                0.39535,                0.80042,                0.99968,                0.99928,                  0.995,                 0.8606,                0.56477,                0.32651,                0.80205,               0.006139,               0.006139,               0.006139
                     42,                0.72628,                0.40133,                0.79816,                0.99898,                 0.9998,                  0.995,                 0.8436,                0.61311,                0.34054,                0.80752,                0.00604,                0.00604,                0.00604
                     43,                0.71211,                0.39225,                  0.796,                 0.9977,                0.99976,                  0.995,                0.85342,                0.54798,                0.32553,                0.80103,               0.005941,               0.005941,               0.005941
                     44,                0.66761,                0.38123,                0.79487,                0.99349,                      1,                0.99498,                0.85995,                0.55767,                0.32743,                 0.8027,               0.005842,               0.005842,               0.005842
                     45,                0.65986,                 0.3835,                0.79212,                0.99657,                0.99792,                  0.995,                0.83164,                0.62835,                0.33885,                0.80742,               0.005743,               0.005743,               0.005743
                     46,                0.67026,                0.37848,                0.78928,                0.99405,                      1,                  0.995,                0.87389,                0.52335,                0.31748,                0.79936,               0.005644,               0.005644,               0.005644
                     47,                0.64497,                0.36972,                0.79158,                0.99501,                      1,                  0.995,                0.88489,                0.49671,                0.30608,                0.79835,               0.005545,               0.005545,               0.005545
                     48,                0.64651,                0.37023,                0.79186,                0.99967,                0.99989,                  0.995,                 0.8703,                0.51192,                0.30378,                0.80067,               0.005446,               0.005446,               0.005446
                     49,                0.63452,                0.36425,                0.79246,                0.99879,                      1,                  0.995,                0.88647,                0.47069,                0.29784,                0.79663,               0.005347,               0.005347,               0.005347
                     50,                0.61773,                 0.3611,                0.79122,                0.99499,                      1,                  0.995,                0.85355,                0.58579,                0.32219,                0.80617,               0.005248,               0.005248,               0.005248
                     51,                0.61338,                0.35321,                0.79191,                0.99561,                 0.9999,                  0.995,                0.86567,                0.50855,                0.30009,                0.79978,               0.005149,               0.005149,               0.005149
                     52,                0.58907,                0.34711,                0.78646,                0.99712,                      1,                  0.995,                 0.8949,                0.45786,                0.28053,                0.79539,                0.00505,                0.00505,                0.00505
                     53,                0.60643,                0.34987,                0.78948,                0.99612,                      1,                0.99498,                0.90142,                0.44534,                0.28422,                0.79512,               0.004951,               0.004951,               0.004951
                     54,                0.58703,                0.34459,                0.78711,                 0.9971,                      1,                  0.995,                0.89633,                0.47275,                0.28651,                0.79386,               0.004852,               0.004852,               0.004852
                     55,                0.57464,                 0.3443,                0.78573,                0.99576,                0.99976,                  0.995,                0.89458,                0.46975,                0.29028,                0.79737,               0.004753,               0.004753,               0.004753
                     56,                0.56866,                0.34045,                0.78655,                0.99892,                      1,                  0.995,                0.88871,                0.47301,                 0.2854,                0.79455,               0.004654,               0.004654,               0.004654
                     57,                0.56139,                0.33435,                0.78475,                0.99887,                0.99792,                  0.995,                0.90346,                0.46071,                0.27787,                0.79367,               0.004555,               0.004555,               0.004555
                     58,                0.57814,                0.34028,                0.78572,                0.99882,                      1,                  0.995,                0.90408,                0.42394,                0.27087,                0.79298,               0.004456,               0.004456,               0.004456
                     59,                0.57884,                0.33988,                0.79369,                0.99898,                0.99792,                  0.995,                0.87976,                0.48016,                0.28516,                0.79685,               0.004357,               0.004357,               0.004357
                     60,                0.55435,                0.32921,                 0.7862,                0.99749,                      1,                  0.995,                0.91327,                0.41661,                0.26584,                0.79313,               0.004258,               0.004258,               0.004258
                     61,                 0.5384,                0.32239,                0.78561,                 0.9996,                      1,                  0.995,                0.91517,                0.40541,                0.26604,                0.79149,               0.004159,               0.004159,               0.004159
                     62,                0.52741,                0.32261,                0.78203,                0.99868,                0.99897,                  0.995,                  0.915,                0.40826,                0.26223,                0.78997,                0.00406,                0.00406,                0.00406
                     63,                0.53153,                 0.3228,                0.78313,                0.99965,                0.99976,                  0.995,                0.90845,                0.42266,                0.26354,                0.79241,               0.003961,               0.003961,               0.003961
                     64,                0.54257,                0.32475,                 0.7843,                0.99487,                      1,                  0.995,                0.91145,                0.41405,                0.26191,                0.79232,               0.003862,               0.003862,               0.003862
                     65,                0.54484,                0.32254,                0.78283,                0.99623,                      1,                  0.995,                0.90654,                0.40838,                0.25402,                0.79269,               0.003763,               0.003763,               0.003763
                     66,                0.50861,                0.31251,                0.78227,                0.99893,                0.99744,                  0.995,                0.91731,                0.40068,                0.25752,                 0.7911,               0.003664,               0.003664,               0.003664
                     67,                0.51091,                0.31018,                 0.7842,                0.99921,                0.99792,                  0.995,                0.91788,                0.38831,                0.25283,                0.79086,               0.003565,               0.003565,               0.003565
                     68,                0.49469,                0.31067,                0.78157,                0.99976,                0.99965,                  0.995,                0.91086,                0.41314,                0.26316,                0.79176,               0.003466,               0.003466,               0.003466
                     69,                0.51233,                0.31368,                0.78011,                0.99929,                0.99878,                  0.995,                0.91128,                0.40587,                0.25476,                0.79182,               0.003367,               0.003367,               0.003367
                     70,                 0.5209,                0.31103,                0.78763,                0.99925,                      1,                  0.995,                0.91604,                0.39139,                 0.2477,                0.79208,               0.003268,               0.003268,               0.003268
                     71,                0.50082,                0.30642,                0.77912,                      1,                0.99914,                  0.995,                0.92391,                0.37893,                0.24309,                0.79127,               0.003169,               0.003169,               0.003169
                     72,                0.48906,                0.30236,                0.78099,                0.99962,                      1,                  0.995,                0.91716,                0.40169,                0.25201,                0.79176,                0.00307,                0.00307,                0.00307
                     73,                0.47585,                0.29823,                0.78087,                 0.9997,                      1,                  0.995,                 0.9025,                0.42566,                0.25471,                0.79191,               0.002971,               0.002971,               0.002971
