                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9372,                 3.1078,                 1.2232,                0.00979,                0.92092,                0.33548,                0.17531,                 1.3492,                 3.3322,                  1.004,             0.00046798,             0.00046798,             0.00046798
                      2,                 1.4144,                 1.3815,                 1.0041,                0.97093,                0.92134,                0.96212,                0.61269,                 1.2399,                  1.443,                0.99306,             0.00093496,             0.00093496,             0.00093496
                      3,                 1.2885,                 1.0913,                0.97021,                0.98429,                0.95141,                0.98151,                0.66012,                 1.1246,                0.80241,                0.96161,              0.0013925,              0.0013925,              0.0013925
                      4,                 1.2219,                0.96616,                0.96128,                0.97101,                0.96182,                0.98712,                0.68363,                 1.1146,                0.76544,                0.95333,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.1501,                 0.8448,                0.94278,                0.97846,                0.96562,                0.98074,                0.63814,                 1.1238,                0.72423,                0.95366,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.0995,                0.76895,                0.92313,                0.97837,                0.97841,                0.98163,                  0.707,                0.97902,                0.61884,                0.91326,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.0866,                0.71911,                0.91776,                0.99518,                0.98335,                0.99405,                0.72617,                0.90439,                0.58489,                0.89573,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.0251,                0.66908,                 0.9032,                0.97668,                0.98381,                0.99144,                0.71683,                 1.0244,                0.56426,                 0.9208,                0.00133,                0.00133,                0.00133
                      9,                 1.0091,                0.63974,                0.89804,                0.98138,                0.98236,                0.99385,                0.71818,                0.98328,                0.56313,                0.90959,              0.0013158,              0.0013158,              0.0013158
                     10,                0.99678,                0.61681,                0.89262,                0.99604,                0.98151,                0.99316,                0.76055,                 0.8567,                0.50621,                0.88234,              0.0013017,              0.0013017,              0.0013017
                     11,                0.98275,                 0.5975,                0.89207,                0.99066,                0.98381,                0.99074,                0.73428,                0.92281,                0.51464,                0.90331,              0.0012875,              0.0012875,              0.0012875
                     12,                0.95617,                  0.568,                  0.888,                0.99237,                0.98933,                0.99237,                0.77161,                0.87167,                0.47346,                0.88366,              0.0012734,              0.0012734,              0.0012734
                     13,                0.93477,                0.56234,                 0.8803,                0.99582,                0.98045,                0.98976,                0.78076,                0.80468,                0.48787,                 0.8731,              0.0012592,              0.0012592,              0.0012592
                     14,                0.90531,                0.54139,                0.87874,                0.98954,                0.98614,                0.99458,                0.78071,                0.82391,                0.47749,                0.87066,              0.0012451,              0.0012451,              0.0012451
                     15,                0.89303,                0.52643,                0.87495,                0.98515,                0.97756,                 0.9865,                0.80208,                0.75381,                 0.4624,                0.85911,              0.0012309,              0.0012309,              0.0012309
                     16,                0.90076,                0.53522,                 0.8761,                0.98888,                0.98965,                0.99279,                0.79569,                0.81227,                0.45502,                 0.8677,              0.0012168,              0.0012168,              0.0012168
                     17,                0.86509,                0.51176,                0.86759,                0.98751,                 0.9847,                0.99259,                0.79146,                0.75553,                0.43132,                0.85734,              0.0012026,              0.0012026,              0.0012026
                     18,                0.87769,                0.50251,                0.87177,                 0.9915,                0.98712,                0.99151,                 0.7946,                0.74949,                 0.4389,                0.85812,              0.0011885,              0.0011885,              0.0011885
                     19,                0.86178,                0.49184,                0.86199,                0.99146,                0.99209,                0.99435,                0.80944,                0.74545,                0.42249,                0.85385,              0.0011744,              0.0011744,              0.0011744
                     20,                0.86109,                0.49694,                0.86065,                 0.9923,                0.99046,                0.99225,                0.79912,                0.78521,                0.42632,                0.86455,              0.0011602,              0.0011602,              0.0011602
                     21,                0.84599,                0.47852,                  0.858,                0.99368,                0.98961,                0.98835,                0.80692,                0.73659,                0.40424,                 0.8542,              0.0011461,              0.0011461,              0.0011461
                     22,                0.81918,                0.47797,                0.85528,                0.99921,                0.98214,                0.99012,                0.79566,                0.75567,                0.43377,                0.85871,              0.0011319,              0.0011319,              0.0011319
                     23,                0.82178,                0.47435,                0.85753,                0.99163,                0.98814,                0.99272,                0.79999,                0.77121,                0.41793,                0.86481,              0.0011178,              0.0011178,              0.0011178
                     24,                0.81328,                0.46477,                0.85616,                0.99029,                0.98381,                0.99417,                0.82148,                0.69015,                0.40241,                0.84457,              0.0011036,              0.0011036,              0.0011036
                     25,                0.82311,                0.46926,                0.85925,                0.99807,                0.98586,                0.99295,                0.81503,                0.73691,                0.39863,                0.85469,              0.0010895,              0.0010895,              0.0010895
                     26,                0.82345,                0.46359,                0.85501,                0.99876,                0.98944,                0.99376,                0.81858,                0.76517,                0.40604,                0.85681,              0.0010753,              0.0010753,              0.0010753
                     27,                0.81156,                 0.4611,                0.85444,                0.99823,                0.98275,                0.99216,                0.80858,                0.76794,                0.41823,                0.85889,              0.0010612,              0.0010612,              0.0010612
                     28,                0.78729,                0.44986,                0.84764,                0.99683,                0.98381,                0.99292,                 0.8242,                0.66413,                0.36966,                0.83751,               0.001047,               0.001047,               0.001047
                     29,                0.76991,                0.43916,                0.84504,                 0.9904,                0.98904,                0.99379,                0.84474,                0.63042,                0.37685,                0.82643,              0.0010329,              0.0010329,              0.0010329
                     30,                0.75602,                0.43388,                0.84468,                0.99713,                0.98263,                0.99002,                0.86695,                0.59355,                0.37188,                0.82414,              0.0010187,              0.0010187,              0.0010187
                     31,                0.71395,                0.42003,                0.83537,                0.99312,                0.98671,                0.99248,                0.85869,                0.60287,                0.36912,                0.82739,              0.0010046,              0.0010046,              0.0010046
                     32,                0.71387,                0.41954,                0.83619,                0.99113,                0.98982,                 0.9938,                0.86247,                0.57711,                0.35219,                0.82365,             0.00099044,             0.00099044,             0.00099044
                     33,                0.69676,                0.41213,                0.83419,                0.99471,                0.98381,                0.99027,                0.87311,                0.53779,                  0.336,                 0.8179,             0.00097629,             0.00097629,             0.00097629
                     34,                0.71341,                0.41814,                0.83482,                0.99423,                0.98671,                0.99224,                0.87982,                0.53334,                0.33534,                0.81259,             0.00096215,             0.00096215,             0.00096215
                     35,                0.68279,                0.40785,                 0.8324,                0.99931,                0.98961,                0.99046,                0.87722,                0.53559,                0.33158,                0.81296,               0.000948,               0.000948,               0.000948
                     36,                0.65537,                0.39057,                0.82533,                0.99575,                0.98986,                0.99054,                 0.8775,                0.51915,                0.31368,                0.81239,             0.00093385,             0.00093385,             0.00093385
                     37,                0.63984,                0.38384,                0.82267,                0.99371,                0.98961,                 0.9917,                0.89467,                0.50522,                0.31648,                0.81064,              0.0009197,              0.0009197,              0.0009197
                     38,                0.66139,                 0.3907,                0.82863,                0.99518,                0.98357,                 0.9917,                0.89393,                0.50316,                 0.3182,                0.80995,             0.00090556,             0.00090556,             0.00090556
                     39,                0.63575,                0.38154,                0.81945,                0.99449,                0.99258,                0.99443,                0.89368,                0.48185,                0.30763,                0.80834,             0.00089141,             0.00089141,             0.00089141
                     40,                0.62897,                0.37785,                0.81901,                0.99214,                0.98671,                0.99109,                0.89459,                0.53523,                0.31548,                0.81521,             0.00087726,             0.00087726,             0.00087726
                     41,                0.62545,                0.37408,                0.81935,                 0.9917,                0.98865,                0.99206,                0.89475,                0.50352,                0.31607,                0.80963,             0.00086312,             0.00086312,             0.00086312
                     42,                 0.6252,                0.37695,                 0.8211,                0.99515,                0.98896,                0.99191,                0.89535,                0.50818,                0.30741,                0.81002,             0.00084897,             0.00084897,             0.00084897
